InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1640995200000,1641038400000,46216.93000000,47555.55000000,46208.37000000,46758.87000000,9747.68164000,720,720,False
1641038400000,1641081600000,46758.87000000,47954.63000000,46756.30000000,47722.65000000,9856.78161000,720,720,False
1641081600000,1641124800000,47722.66000000,47750.00000000,46770.23000000,47235.50000000,7526.22416000,720,720,False
1641124800000,1641168000000,47238.89000000,47990.00000000,46654.00000000,47286.18000000,10814.23624000,720,720,False
1641168000000,1641211200000,47286.18000000,47431.67000000,46722.39000000,47378.00000000,10095.68718000,720,720,False
1641211200000,1641254400000,47378.00000000,47570.00000000,45696.00000000,46446.10000000,17566.38992000,720,720,False
1641254400000,1641297600000,46446.10000000,46772.41000000,45934.50000000,46733.77000000,14025.64659000,720,720,False
1641297600000,1641340800000,46733.78000000,47557.54000000,45500.00000000,45832.01000000,21465.76701000,720,720,False
1641340800000,1641384000000,45832.01000000,47070.00000000,45722.21000000,46270.99000000,10843.48028000,720,720,False
1641384000000,1641427200000,46271.00000000,46822.17000000,42500.00000000,43451.13000000,40940.63829000,720,720,False
1641427200000,1641470400000,43451.14000000,43816.00000000,42430.58000000,42878.34000000,22807.48134000,720,720,False
1641470400000,1641513600000,42878.33000000,43581.30000000,42632.44000000,43082.31000000,16072.89171000,720,720,False
1641513600000,1641556800000,43082.30000000,43145.83000000,41000.00000000,42258.62000000,29560.07707000,720,720,False
1641556800000,1641600000000,42258.62000000,42766.17000000,40610.00000000,41566.48000000,25276.43111000,720,720,False
1641600000000,1641643200000,41566.48000000,42246.37000000,41558.00000000,41940.22000000,9003.03723000,720,720,False
1641643200000,1641686400000,41940.22000000,42300.00000000,40501.00000000,41679.74000000,23949.69388000,720,720,False
1641686400000,1641729600000,41679.74000000,42170.11000000,41388.13000000,41857.62000000,9853.98203000,720,720,False
1641729600000,1641772800000,41857.62000000,42786.70000000,41200.02000000,41864.62000000,12870.41223000,720,720,False
1641772800000,1641816000000,41864.62000000,42248.50000000,41455.00000000,41565.34000000,10398.35563000,720,720,False
1641816000000,1641859200000,41565.33000000,42121.63000000,39650.00000000,41822.49000000,40330.81456000,720,720,False
