InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1704153600000,1704154500000,44179.55000000,44650.00000000,44148.34000000,44630.09000000,2154.59235000,15,15,False
1704154500000,1704155400000,44630.10000000,44844.00000000,44450.00000000,44609.79000000,1997.62342000,15,15,False
1704155400000,1704156300000,44609.78000000,44768.29000000,44553.92000000,44732.01000000,1002.64655000,15,15,False
1704156300000,1704157200000,44732.01000000,45200.00000000,44677.43000000,45056.00000000,1831.39735000,15,15,False
1704157200000,1704158100000,45056.00000000,45372.79000000,44841.22000000,44841.22000000,2164.10983000,15,15,False
1704158100000,1704159000000,44841.22000000,45060.00000000,44832.01000000,44930.24000000,914.79727000,15,15,False
1704159000000,1704159900000,44930.24000000,45010.00000000,44799.55000000,44806.64000000,652.02581000,15,15,False
1704159900000,1704160800000,44806.64000000,44908.04000000,44686.00000000,44855.96000000,666.93085000,15,15,False
1704160800000,1704161700000,44855.96000000,44994.10000000,44855.95000000,44980.37000000,563.72114000,15,15,False
1704161700000,1704162600000,44980.38000000,45100.00000000,44895.07000000,45099.99000000,815.65968000,15,15,False
1704162600000,1704163500000,45099.99000000,45350.00000000,45073.90000000,45294.75000000,962.04592000,15,15,False
1704163500000,1704164400000,45294.75000000,45381.42000000,45166.35000000,45378.96000000,674.61561000,15,15,False
1704164400000,1704165300000,45378.96000000,45469.43000000,45131.10000000,45250.45000000,742.39427000,15,15,False
1704165300000,1704166200000,45250.45000000,45365.59000000,45192.37000000,45316.71000000,610.38250000,15,15,False
1704166200000,1704167100000,45316.70000000,45500.00000000,45312.10000000,45418.03000000,613.83261000,15,15,False
1704167100000,1704168000000,45418.03000000,45456.86000000,45336.65000000,45402.38000000,726.51143000,15,15,False
1704168000000,1704168900000,45402.38000000,45468.99000000,45240.38000000,45390.00000000,766.28725000,15,15,False
1704168900000,1704169800000,45389.99000000,45400.00000000,45278.96000000,45362.27000000,410.71835000,15,15,False
1704169800000,1704170700000,45362.27000000,45362.28000000,45176.67000000,45224.91000000,618.75186000,15,15,False
1704170700000,1704171600000,45224.90000000,45240.52000000,45170.00000000,45179.80000000,472.51826000,15,15,False
1704171600000,1704172500000,45179.80000000,45324.72000000,45121.96000000,45314.00000000,502.96296000,15,15,False
1704172500000,1704173400000,45314.01000000,45324.72000000,45231.10000000,45261.08000000,447.55841000,15,15,False
1704173400000,1704174300000,45261.08000000,45291.59000000,45221.79000000,45249.21000000,272.09113000,15,15,False
1704174300000,1704175200000,45249.21000000,45318.44000000,45133.17000000,45179.48000000,394.67170000,15,15,False
1704175200000,1704176100000,45179.48000000,45240.03000000,45130.00000000,45240.02000000,351.09122000,15,15,False
1704176100000,1704177000000,45240.03000000,45283.44000000,45195.99000000,45250.20000000,245.47410000,15,15,False
