InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1641312000000,1641319200000,46925.34000000,46984.99000000,46522.91000000,46555.01000000,2557.25000000,120,120,False
1641319200000,1641326400000,46555.00000000,46719.78000000,45500.00000000,46052.36000000,7298.20649000,120,120,False
1641326400000,1641333600000,46052.35000000,46428.27000000,45957.52000000,46221.89000000,1824.83913000,120,120,False
1641333600000,1641340800000,46221.89000000,46262.39000000,45760.05000000,45832.01000000,1719.56805000,120,120,False
1641340800000,1641348000000,45832.01000000,46333.22000000,45722.21000000,46111.50000000,1733.00546000,120,120,False
1641348000000,1641355200000,46111.50000000,46549.00000000,46111.50000000,46422.55000000,1301.63523000,120,120,False
1641355200000,1641362400000,46422.56000000,46527.39000000,46246.01000000,46302.80000000,1003.36334000,120,120,False
1641362400000,1641369600000,46302.79000000,46490.20000000,46251.10000000,46407.51000000,1181.67098000,120,120,False
1641369600000,1641376800000,46407.50000000,46949.00000000,46250.49000000,46858.94000000,2498.09281000,120,120,False
1641376800000,1641384000000,46858.93000000,47070.00000000,46110.00000000,46270.99000000,3125.71246000,120,120,False
1641384000000,1641391200000,46271.00000000,46466.66000000,45803.67000000,46440.01000000,2903.88120000,120,120,False
1641391200000,1641398400000,46440.00000000,46822.17000000,46150.35000000,46622.53000000,3152.38137000,120,120,False
1641398400000,1641405600000,46622.53000000,46674.37000000,46001.00000000,46010.72000000,2206.59304000,120,120,False
1641405600000,1641412800000,46010.72000000,46365.68000000,44500.00000000,44685.93000000,11052.16630000,120,120,False
1641412800000,1641420000000,44685.93000000,44847.99000000,43422.54000000,43606.37000000,11899.01071000,120,120,False
1641420000000,1641427200000,43602.49000000,43815.20000000,42500.00000000,43451.13000000,9726.60567000,120,120,False
1641427200000,1641434400000,43451.14000000,43816.00000000,43261.62000000,43542.69000000,4129.41355000,120,120,False
1641434400000,1641441600000,43542.69000000,43618.34000000,42803.37000000,42835.00000000,3777.88268000,120,120,False
1641441600000,1641448800000,42835.00000000,43246.37000000,42600.05000000,43050.01000000,4706.43033000,120,120,False
1641448800000,1641456000000,43050.00000000,43275.80000000,42902.65000000,43245.25000000,2441.96058000,120,120,False
1641456000000,1641463200000,43245.26000000,43273.87000000,42430.58000000,42597.87000000,4435.20027000,120,120,False
1641463200000,1641470400000,42597.87000000,42974.21000000,42568.22000000,42878.34000000,3316.59393000,120,120,False
1641470400000,1641477600000,42878.33000000,43200.00000000,42632.44000000,43150.01000000,3528.47733000,120,120,False
1641477600000,1641484800000,43150.00000000,43267.09000000,42666.00000000,42950.01000000,3885.75862000,120,120,False
1641484800000,1641492000000,42950.02000000,43175.66000000,42725.09000000,43005.29000000,2902.56303000,120,120,False
1641492000000,1641499200000,43005.30000000,43508.78000000,42982.05000000,43438.10000000,2597.96865000,120,120,False
1641499200000,1641506400000,43438.11000000,43581.30000000,43066.04000000,43120.64000000,2072.23369000,120,120,False
1641506400000,1641513600000,43120.63000000,43241.41000000,43007.81000000,43082.31000000,1085.89039000,120,120,False
1641513600000,1641520800000,43082.30000000,43145.83000000,42738.00000000,43008.90000000,2088.61499000,120,120,False
1641520800000,1641528000000,43008.90000000,43030.00000000,41577.77000000,41803.11000000,7021.74784000,120,120,False
1641528000000,1641535200000,41803.11000000,41950.00000000,41000.00000000,41851.33000000,8622.33278000,120,120,False
1641535200000,1641542400000,41851.33000000,41853.19000000,41206.90000000,41706.71000000,4200.17162000,120,120,False
1641542400000,1641549600000,41706.71000000,42883.47000000,41607.50000000,42422.56000000,5311.91926000,120,120,False
1641549600000,1641556800000,42422.57000000,42533.43000000,42161.00000000,42258.62000000,2315.29058000,120,120,False
1641556800000,1641564000000,42258.62000000,42766.17000000,41200.00000000,41489.22000000,6112.20872000,120,120,False
1641564000000,1641571200000,41489.19000000,42132.98000000,40610.00000000,41319.11000000,7833.83765000,120,120,False
1641571200000,1641578400000,41310.85000000,42315.85000000,40917.66000000,41993.48000000,6096.59660000,120,120,False
1641578400000,1641585600000,41993.68000000,42000.00000000,41516.00000000,41775.38000000,1774.14611000,120,120,False
1641585600000,1641592800000,41775.38000000,42054.00000000,41597.15000000,41875.01000000,1705.88525000,120,120,False
