InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1640995200000,1640998800000,46216.93000000,46731.39000000,46208.37000000,46656.13000000,1503.33095000,60,60,False
1640998800000,1641002400000,46656.14000000,46949.99000000,46574.06000000,46778.14000000,943.81539000,60,60,False
1641002400000,1641006000000,46778.14000000,46928.94000000,46721.96000000,46811.77000000,485.16860000,60,60,False
1641006000000,1641009600000,46811.77000000,46916.63000000,46760.12000000,46813.20000000,562.88971000,60,60,False
1641009600000,1641013200000,46813.21000000,46887.33000000,46591.23000000,46711.05000000,861.88389000,60,60,False
1641013200000,1641016800000,46711.05000000,47555.55000000,46673.94000000,47192.55000000,1400.73642000,60,60,False
1641016800000,1641020400000,47192.56000000,47324.42000000,46940.00000000,46979.62000000,613.97776000,60,60,False
1641020400000,1641024000000,46979.61000000,47255.85000000,46864.84000000,47194.73000000,646.20081000,60,60,False
1641024000000,1641027600000,47194.73000000,47344.69000000,47075.11000000,47124.82000000,532.44767000,60,60,False
1641027600000,1641031200000,47124.82000000,47215.56000000,46933.58000000,47143.98000000,541.32491000,60,60,False
1641031200000,1641034800000,47143.98000000,47298.75000000,46715.39000000,46871.08000000,923.01760000,60,60,False
1641034800000,1641038400000,46871.09000000,47007.73000000,46756.77000000,46758.87000000,732.88793000,60,60,False
1641038400000,1641042000000,46758.87000000,47150.48000000,46756.30000000,47074.05000000,582.15009000,60,60,False
1641042000000,1641045600000,47074.05000000,47199.67000000,46935.09000000,47023.24000000,454.14412000,60,60,False
1641045600000,1641049200000,47023.24000000,47100.00000000,46850.18000000,46926.22000000,503.66220000,60,60,False
1641049200000,1641052800000,46920.01000000,47491.14000000,46871.69000000,47219.04000000,1515.95305000,60,60,False
1641052800000,1641056400000,47219.04000000,47527.24000000,47186.07000000,47268.62000000,1049.57919000,60,60,False
1641056400000,1641060000000,47268.61000000,47954.63000000,47238.81000000,47754.48000000,1320.66577000,60,60,False
1641060000000,1641063600000,47754.47000000,47844.97000000,47420.00000000,47560.55000000,860.76025000,60,60,False
1641063600000,1641067200000,47560.54000000,47611.84000000,47292.72000000,47329.78000000,830.67160000,60,60,False
1641067200000,1641070800000,47329.79000000,47559.03000000,47250.18000000,47391.82000000,717.20792000,60,60,False
1641070800000,1641074400000,47391.82000000,47573.05000000,47268.79000000,47319.67000000,809.21927000,60,60,False
1641074400000,1641078000000,47319.66000000,47490.98000000,47222.22000000,47440.74000000,466.47861000,60,60,False
1641078000000,1641081600000,47440.74000000,47814.00000000,47277.77000000,47722.65000000,746.28954000,60,60,False
1641081600000,1641085200000,47722.66000000,47750.00000000,47381.12000000,47625.30000000,1082.50817000,60,60,False
1641085200000,1641088800000,47625.29000000,47641.83000000,47315.38000000,47377.97000000,465.75360000,60,60,False
1641088800000,1641092400000,47377.97000000,47449.56000000,47275.50000000,47370.50000000,452.39245000,60,60,False
