InicioUtcMs,FinUtcMsExclusivo,Open,High,Low,Close,Volume,MinutosEsperados,MinutosRecibidos,EsParcial
1704153600000,1704168000000,44179.55000000,45500.00000000,44148.34000000,45402.38000000,17093.28659000,240,240,False
1704168000000,1704182400000,45402.38000000,45643.75000000,45121.96000000,45455.53000000,8388.42302000,240,240,False
1704182400000,1704196800000,45455.52000000,45879.63000000,45200.00000000,45433.99000000,10027.39458000,240,240,False
1704196800000,1704211200000,45433.99000000,45800.00000000,44833.33000000,45184.82000000,13236.12915000,240,240,False
1704211200000,1704225600000,45184.83000000,45399.84000000,44790.96000000,45039.49000000,9745.60445000,240,240,False
1704225600000,1704240000000,45039.49000000,45297.26000000,44600.00000000,44946.91000000,6655.56882000,240,240,False
1704240000000,1704254400000,44946.91000000,45410.91000000,44862.11000000,45262.69000000,4750.68596000,240,240,False
1704254400000,1704268800000,45262.70000000,45384.84000000,44940.93000000,45011.77000000,4691.11517000,240,240,False
1704268800000,1704283200000,45011.77000000,45500.00000000,43500.00000000,43702.88000000,13237.52778000,240,240,False
1704283200000,1704297600000,43702.89000000,43716.00000000,40750.00000000,43000.01000000,35484.15210000,240,240,False
1704297600000,1704312000000,43000.01000000,43567.92000000,42000.00000000,42596.67000000,16895.34192000,240,240,False
1704312000000,1704326400000,42596.66000000,42966.27000000,42518.70000000,42845.23000000,6135.72880000,240,240,False
1704326400000,1704340800000,42845.23000000,43220.56000000,42613.77000000,43102.80000000,5488.13855000,240,240,False
1704340800000,1704355200000,43102.79000000,43273.08000000,42756.97000000,42763.08000000,5443.39629000,240,240,False
1704355200000,1704369600000,42763.08000000,43233.81000000,42616.28000000,43176.32000000,6746.40949000,240,240,False
1704369600000,1704384000000,43176.33000000,44329.99000000,43097.06000000,44051.10000000,11599.01023000,240,240,False
1704384000000,1704398400000,44051.10000000,44437.50000000,43777.86000000,43956.48000000,9399.52176000,240,240,False
1704398400000,1704412800000,43956.48000000,44729.58000000,43890.90000000,44151.10000000,9361.58702000,240,240,False
